Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
68.71.242.118:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,466
68.71.249.158:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,451
98.191.0.37:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1076
199.116.112.6:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,981
199.102.107.145:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,469
98.170.57.241:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1087
184.185.2.12:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2140
192.252.211.193:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,943
72.49.49.11:31034,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,5012
192.252.220.89:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,485
199.102.104.70:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,460
199.116.114.11:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,461
192.252.209.158:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,962
142.54.231.38:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,454
142.54.236.97:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,456
192.111.129.150:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,960
98.175.31.222:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1076
72.205.0.93:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1057
104.200.152.30:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,473
142.54.239.1:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,470
199.102.105.242:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,449
199.187.210.54:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,507
